entry_time,exit_time,type,entry_price,exit_price,price_diff,duration,symbol,cum_profit,peak,drawdown
2023-01-04 14:30:00,2023-01-04 15:01:42,buy,130.885,130.985,0.10000000000002274,0 days 00:31:42,USDJPY,0.10000000000002274,0.10000000000002274,0.0
2023-01-10 08:00:00,2023-01-10 08:33:30,buy,132.227,131.863,-0.3640000000000043,0 days 00:33:30,USDJPY,-0.2639999999999816,0.10000000000002274,0.3640000000000043
2023-01-11 01:00:00,2023-01-11 04:56:59,buy,132.265,132.311,0.04600000000002069,0 days 03:56:59,USDJPY,-0.2179999999999609,0.10000000000002274,0.31799999999998363
2023-01-11 08:00:00,2023-01-11 09:32:21,buy,132.424,132.471,0.046999999999997044,0 days 01:32:21,USDJPY,-0.17099999999996385,0.10000000000002274,0.2709999999999866
2023-01-17 02:30:00,2023-01-17 05:13:41,buy,128.902,128.591,-0.3109999999999786,0 days 02:43:41,USDJPY,-0.4819999999999425,0.10000000000002274,0.5819999999999652
2023-01-20 01:45:00,2023-01-20 07:17:17,buy,128.736,128.93,0.19400000000001683,0 days 05:32:17,USDJPY,-0.28799999999992565,0.10000000000002274,0.3879999999999484
2023-01-24 23:45:00,2023-01-25 07:21:05,buy,130.168,130.26,0.09199999999998454,0 days 07:36:05,USDJPY,-0.1959999999999411,0.10000000000002274,0.29599999999996385
2023-01-26 09:00:00,2023-01-26 13:34:39,buy,129.815,129.915,0.09999999999999432,0 days 04:34:39,USDJPY,-0.0959999999999468,0.10000000000002274,0.19599999999996953
2023-01-27 06:00:00,2023-01-27 10:22:38,buy,129.988,129.678,-0.3100000000000023,0 days 04:22:38,USDJPY,-0.40599999999994907,0.10000000000002274,0.5059999999999718
2023-01-30 01:00:00,2023-01-30 04:00:20,buy,130.09,129.779,-0.31100000000000705,0 days 03:00:20,USDJPY,-0.7169999999999561,0.10000000000002274,0.8169999999999789
2023-01-31 20:30:00,2023-02-01 00:54:25,buy,130.201,129.891,-0.3100000000000023,0 days 04:24:25,USDJPY,-1.0269999999999584,0.10000000000002274,1.1269999999999811
